Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1597.9279905801097
FDW14,OUT017,1378.2566413636503
NCN55,OUT010,572.4303217459433
FDQ58,OUT017,2418.004445320786
FDY38,OUT027,5849.097906543024
FDH56,OUT046,1887.095735324691
FDL48,OUT018,758.9601896247227
FDC48,OUT027,2177.597594554593
FDN33,OUT045,1573.2361831313694
FDA36,OUT017,3155.476641703244
FDT44,OUT017,1865.815357388009
FDQ56,OUT045,1406.7477253130176
NCC54,OUT019,572.1905140333508
FDU11,OUT049,2019.571527832509
DRL59,OUT013,872.1659558579886
FDM24,OUT049,2351.2226080971336
FDI57,OUT045,2971.6541677626656
DRC12,OUT018,2875.9648784942565
NCM42,OUT027,2914.014899236282
FDA46,OUT010,508.94189105302866
FDA31,OUT013,2760.0129664707715
NCJ31,OUT035,3816.3478983388236
FDG52,OUT046,794.695478568443
NCL19,OUT019,286.4815198867427
FDS10,OUT035,2963.765519659275
FDX22,OUT010,563.7892128754828
NCF19,OUT035,765.4038840486929
NCE06,OUT046,2462.952741147192
DRC27,OUT046,3929.9334822822784
FDE21,OUT035,2001.2110996279343
NCR42,OUT019,131.67017986162213
FDX51,OUT018,2906.5855864493988
NCR06,OUT018,603.342301185495
FDU31,OUT027,5849.097906543024
FDU59,OUT017,2451.8934305254443
FDR03,OUT027,5849.097906543024
FDS49,OUT027,2068.7544077317098
FDD48,OUT010,269.07466398236767
NCF18,OUT017,3030.6682959740847
NCD43,OUT027,2863.514485940294
NCD54,OUT018,2092.048753682194
FDY19,OUT010,269.61852117066064
NCY54,OUT017,2797.7731932604083
NCL19,OUT018,2392.3975410091602
FDP23,OUT010,570.1019187032073
FDC26,OUT013,1708.3770434239532
FDR14,OUT010,131.67017986162213
NCS41,OUT035,3229.294996202334
FDF41,OUT035,3846.4291787495413
FDU34,OUT046,2091.8156867774005
DRH11,OUT046,961.1201237151432
FDM03,OUT013,1637.2993751088518
FDS31,OUT017,3099.116215702485
FDJ20,OUT017,1992.2641519167516
FDV44,OUT027,5157.966929964723
FDG02,OUT049,3206.8032683266288
FDA09,OUT013,3020.065125510869
FDT04,OUT013,703.0557896509132
FDL58,OUT019,569.8870165060292
FDE52,OUT045,1384.1250560803908
FDW12,OUT035,2441.504776728071
FDL51,OUT017,3723.7419002488273
NCY42,OUT027,3023.7489520622153
FDR07,OUT017,1578.2545769145727
FDN40,OUT045,2363.090974986869
FDB35,OUT027,2703.2304054544193
FDA22,OUT017,2457.465665322263
NCL06,OUT046,4219.575963035198
FDI35,OUT013,3145.237863497733
NCW42,OUT045,3718.1173190210357
NCX06,OUT049,2991.2409693970744
FDC37,OUT027,2895.1691414836005
FDZ14,OUT018,1889.9791534833603
DRG49,OUT049,3923.749651893064
NCG06,OUT045,4174.852030532441
DRC36,OUT045,2880.5833313922853
FDV21,OUT019,280.1024707830382
FDB53,OUT046,2587.960491241659
DRP47,OUT019,572.1905140333508
FDA14,OUT013,2472.2189642256353
DRC24,OUT035,2574.279494827775
FDW21,OUT018,1596.6309130932536
NCH29,OUT046,1568.2440782158603
FDU58,OUT013,3147.45635057109
FDY27,OUT017,2888.208606850193
FDV56,OUT035,1673.6786804474896
FDT59,OUT046,3853.4058924827996
FDB23,OUT046,3755.819772006299
FDR49,OUT045,766.6006894895943
FDB03,OUT010,572.7932575629036
FDN39,OUT045,2648.6367955783808
FDX02,OUT027,5849.097906543024
FDQ16,OUT027,2895.1691414836005
FDU35,OUT018,1519.6578412510044
NCT29,OUT013,1983.8142902435004
FDZ27,OUT046,795.5047017112555
FDN57,OUT017,2016.2956385641942
