Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1674.1783109090907
FDW14,OUT017,1481.8506141732291
NCN55,OUT010,584.7577647727277
FDQ58,OUT017,2658.605980000002
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.149381714285
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1559.3429752688176
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.149381714285
FDQ56,OUT045,1481.8506141732291
NCC54,OUT019,584.7577647727277
FDU11,OUT049,2143.3489083333343
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2288.5508357894732
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2851.631695876288
NCJ31,OUT035,3733.516921739128
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.108064242421
FDX22,OUT010,584.7577647727277
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2491.4174351851843
DRC27,OUT046,4127.656729842934
FDE21,OUT035,1922.149381714285
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2491.4174351851843
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.348476190475
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2851.631695876288
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727277
FDC26,OUT013,1526.9964476190487
FDR14,OUT010,165.91858165137614
NCS41,OUT035,3384.108064242421
FDF41,OUT035,3733.516921739128
FDU34,OUT046,2143.3489083333343
DRH11,OUT046,935.0323883040937
FDM03,OUT013,1526.9964476190487
FDS31,OUT017,3384.108064242421
FDJ20,OUT017,2143.3489083333343
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,2851.631695876288
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727277
FDE52,OUT045,1424.594690277778
FDW12,OUT035,2288.5508357894732
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1559.3429752688176
FDN40,OUT045,2288.5508357894732
FDB35,OUT027,2517.8820884848487
FDA22,OUT017,2288.5508357894732
NCL06,OUT046,4596.846386274509
FDI35,OUT013,3384.108064242421
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2568.332833644859
FDC37,OUT027,2517.8820884848487
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3441.1849720279706
NCG06,OUT045,4105.919507547171
