Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2065.9773999999998
FDW14,OUT017,1777.4196799999997
NCN55,OUT010,1695.1268
FDQ58,OUT017,2314.72028
FDY38,OUT027,5759.96896
FDH56,OUT046,1998.4652800000003
FDL48,OUT018,660.6067599999999
FDC48,OUT027,2474.7786
FDN33,OUT045,1378.47232
FDA36,OUT017,3611.16604
FDT44,OUT017,1673.8211999999999
FDQ56,OUT045,1942.5380799999998
NCC54,OUT019,3082.92032
FDU11,OUT049,2096.73736
DRL59,OUT013,749.15816
FDM24,OUT049,2217.64664
FDI57,OUT045,2200.2026800000003
DRC12,OUT018,3319.6788
NCM42,OUT027,2772.1248799999994
FDA46,OUT010,388.8272
FDA31,OUT013,2557.07148
NCJ31,OUT035,5488.45572
FDG52,OUT046,914.9423600000002
NCL19,OUT019,371.64955999999995
FDS10,OUT035,3042.83916
FDX22,OUT010,1680.2128800000003
NCF19,OUT035,637.96956
NCE06,OUT046,2002.3269200000002
DRC27,OUT046,2839.10436
FDE21,OUT035,2638.96488
NCR42,OUT019,663.8026
FDX51,OUT018,2899.82532
NCR06,OUT018,458.86936000000003
FDU31,OUT027,3915.43664
FDU59,OUT017,2397.01316
FDR03,OUT027,4659.00208
FDS49,OUT027,2526.44468
FDD48,OUT010,275.77436
NCF18,OUT017,2826.9868
NCD43,OUT027,3168.4090399999995
NCD54,OUT018,1367.6863600000001
FDY19,OUT010,1036.11796
NCY54,OUT017,2281.96292
NCL19,OUT018,1733.4768800000002
FDP23,OUT010,1306.03328
FDC26,OUT013,2204.86328
FDR14,OUT010,349.81132
NCS41,OUT035,4501.207479999999
FDF41,OUT035,5008.413920000001
FDU34,OUT046,1708.30964
DRH11,OUT046,1129.9957600000002
FDM03,OUT013,2187.2861599999997
FDS31,OUT017,3789.9999199999997
FDJ20,OUT017,1745.59444
FDV44,OUT027,4533.831679999999
FDG02,OUT049,3902.5201199999997
FDA09,OUT013,4473.90968
FDT04,OUT013,590.16512
FDL58,OUT019,581.11024
FDE52,OUT045,1464.6268400000004
FDW12,OUT035,2985.7135200000002
FDL51,OUT017,3020.86776
NCY42,OUT027,3743.660240000001
FDR07,OUT017,1288.85564
FDN40,OUT045,1965.97424
FDB35,OUT027,2460.7968000000005
FDA22,OUT017,1878.48812
NCL06,OUT046,4520.24936
FDI35,OUT013,4345.410280000001
NCW42,OUT045,3664.9626799999996
NCX06,OUT049,3120.33828
FDC37,OUT027,2532.3037200000003
FDZ14,OUT018,2205.7954
DRG49,OUT049,3891.20152
NCG06,OUT045,5283.1230000000005
DRC36,OUT045,3427.5384
FDV21,OUT019,399.61316
FDB53,OUT046,2817.13296
DRP47,OUT019,909.7491200000001
FDA14,OUT013,2948.8282000000004
DRC24,OUT035,2004.0580000000002
FDW21,OUT018,1671.69064
NCH29,OUT046,1618.9592799999998
FDU58,OUT013,3283.32612
FDY27,OUT017,2406.73384
FDV56,OUT035,1601.78164
FDT59,OUT046,2908.61388
FDB23,OUT046,1709.50808
FDR49,OUT045,812.5423200000001
FDB03,OUT010,2022.3009200000001
FDN39,OUT045,2900.3579600000003
FDX02,OUT027,4811.33712
FDQ16,OUT027,3339.12016
FDU35,OUT018,1619.3587599999998
NCT29,OUT013,1749.1897600000004
FDZ27,OUT046,947.3002400000001
FDN57,OUT017,2233.0932000000003
FDA03,OUT018,2376.6396799999998
FDZ36,OUT045,3268.54536
NCU05,OUT013,896.69944
FDT39,OUT018,2202.86588
FDK60,OUT017,1587.40036
FDZ25,OUT017,3055.22304
FDG12,OUT046,1572.48644
DRB01,OUT019,644.89388
NCC43,OUT027,5790.595759999999
FDX13,OUT019,3487.4604
FDM22,OUT049,713.60444
FDJ03,OUT027,1151.8339999999998
FDU14,OUT018,4586.96252
FDB33,OUT010,1835.4774400000001
FDP27,OUT046,3493.1862800000004
FDO38,OUT010,923.3314399999999
FDE28,OUT027,3811.3055200000003
FDO27,OUT035,1195.5104800000001
DRL23,OUT027,2943.5017999999995
FDS28,OUT046,1006.15696
FDX24,OUT013,1486.3319199999999
FDZ02,OUT035,1498.05
FDL46,OUT045,1531.3400000000001
FDS60,OUT027,4150.73036
NCO06,OUT017,675.5206800000001
FDO16,OUT035,2183.69084
FDC60,OUT049,1340.38856
FDA48,OUT018,3298.2400400000006
FDZ36,OUT027,4963.27268
FDK27,OUT045,1624.15252
FDW23,OUT018,374.84540000000004
FDM14,OUT018,1092.3114799999998
FDM14,OUT013,1873.5612
FDW60,OUT018,2644.4244400000002
FDE21,OUT013,2432.8332
NCM42,OUT035,1717.764
FDY59,OUT010,796.03048
DRI49,OUT049,1212.95444
FDT28,OUT019,211.0586
FDQ22,OUT018,315.98868000000004
FDR60,OUT049,1219.21296
FDC50,OUT019,1426.8094
FDV24,OUT013,2689.832
DRF48,OUT010,1516.29292
FDQ47,OUT046,690.30144
DRN36,OUT049,1573.2854
NCY06,OUT035,1581.6744800000001
FDE52,OUT035,1513.2302399999999
NCB54,OUT045,1681.2781599999998
NCF31,OUT035,2140.81332
FDJ08,OUT027,5202.960680000001
NCC07,OUT017,1557.9719999999998
NCD19,OUT027,2072.50224
FDL46,OUT049,1560.23572
FDM20,OUT045,4907.74496
NCI06,OUT010,506.008
DRM11,OUT035,3830.3474
NCH07,OUT018,2216.31504
FDS23,OUT013,2136.41904
FDO49,OUT018,571.7890399999999
FDS35,OUT049,946.1018
DRK39,OUT045,1766.6337199999998
DRI39,OUT049,939.7101200000001
FDV04,OUT017,2177.6986399999996
NCN14,OUT035,3114.0797599999996
FDH08,OUT013,3699.45112
FDS20,OUT046,3622.88412
FDV40,OUT049,1109.3559599999999
FDZ48,OUT010,223.57564000000002
FDS24,OUT027,2687.5682800000004
FDK44,OUT049,2666.79532
FDS48,OUT045,3060.41628
FDK26,OUT010,488.0314
FDD23,OUT045,3974.55968
NCH54,OUT017,2761.7383999999997
NCP14,OUT010,276.83964000000003
FDM60,OUT010,242.75067999999996
FDV24,OUT017,2729.51368
FDH08,OUT018,2736.97064
FDS12,OUT027,3254.03092
FDR39,OUT027,4323.83836
FDP12,OUT027,943.9712400000001
DRF60,OUT027,4908.14444
FDC09,OUT035,2173.70384
FDF50,OUT018,3336.9896
FDG28,OUT035,3075.19704
NCE19,OUT017,802.82164
NCM53,OUT010,460.20095999999995
NCN18,OUT049,1272.6101199999998
FDF32,OUT035,3190.6467599999996
FDF11,OUT013,4013.70872
DRI59,OUT049,4495.74792
NCG54,OUT035,2345.74656
FDM44,OUT046,1384.33136
FDT57,OUT018,2870.2637999999997
FDV24,OUT046,2638.16592
FDI50,OUT019,458.46988
FDS09,OUT035,1087.2513999999999
NCC31,OUT027,3118.07456
FDQ07,OUT019,526.3814799999999
FDC22,OUT017,3307.16176
FDZ56,OUT046,3105.6906799999997
FDZ40,OUT019,155.53088
FDS46,OUT027,1728.28364
DRD24,OUT045,1612.70076
FDV45,OUT017,3546.98292
FDL26,OUT045,3298.5063600000003
FDA56,OUT018,1594.7241600000002
FDN27,OUT046,1841.46964
FDM20,OUT049,2694.62576
FDO16,OUT017,1704.5811600000002
FDL03,OUT035,3688.9314800000006
FDE58,OUT046,2236.82168
FDI02,OUT027,3235.7880000000005
NCC55,OUT019,295.08255999999994
FDR03,OUT018,4803.61384
FDB14,OUT017,1556.6403999999998
FDR45,OUT013,3690.3962399999996
NCN07,OUT017,2755.34672
FDM51,OUT019,649.68764
FDT52,OUT027,6651.87464
FDL26,OUT046,2674.2522799999997
NCZ42,OUT046,3639.7954400000003
DRI47,OUT019,402.94215999999994
FDW40,OUT013,2729.5136799999996
FDN34,OUT046,3006.4864800000005
FDS01,OUT035,2778.64972
NCG55,OUT045,1496.98472
FDC11,OUT035,1288.45616
FDX35,OUT018,3089.44516
NCB06,OUT046,1272.7432800000001
FDR09,OUT019,1969.4364
FDC53,OUT017,2177.9649600000002
FDY45,OUT013,4041.00652
FDA22,OUT010,467.79107999999997
FDE02,OUT035,1486.46508
FDW21,OUT045,1322.54512
FDV34,OUT046,1019.60612
FDS59,OUT049,1724.55516
NCW17,OUT017,2639.36436
NCK54,OUT046,1672.6227599999997
FDG17,OUT019,4378.16764
FDG35,OUT017,3041.7738799999997
FDD08,OUT010,174.30644
NCO07,OUT017,4696.02056
FDJ10,OUT010,1367.5532
FDW36,OUT017,1979.6897199999999
FDW21,OUT010,1290.05408
FDY19,OUT017,2799.28952
DRE03,OUT013,595.4915199999999
NCC55,OUT049,703.3511199999999
FDH52,OUT010,342.35436
FDO09,OUT017,3405.8333199999993
FDU43,OUT045,5270.87228
FDX09,OUT010,454.07559999999995
FDH40,OUT019,284.16344
FDW58,OUT017,1619.7582400000001
FDC47,OUT017,5505.10072
NCR41,OUT035,1180.33024
DRG49,OUT035,4217.44352
FDC52,OUT027,3880.2824
FDY13,OUT046,1189.91776
FDY35,OUT013,800.2915999999999
FDI35,OUT017,3789.9999199999997
NCU18,OUT049,2887.97408
FDY33,OUT018,2858.14624
FDC15,OUT027,4351.003
FDU01,OUT049,2865.6032
NCU42,OUT046,2316.1850399999994
NCV29,OUT018,2285.0256
NCY30,OUT017,2824.58992
FDQ46,OUT049,1766.10108
FDG58,OUT027,3494.1184000000003
FDK33,OUT017,4235.1538
NCD07,OUT045,1458.2351599999997
NCX29,OUT027,4472.71124
NCT42,OUT013,2888.5067200000003
DRN59,OUT035,702.4190000000001
FDI44,OUT035,1096.17312
FDA45,OUT049,2763.8689600000002
FDP31,OUT045,1096.03996
FDY01,OUT046,2685.7040399999996
FDT09,OUT018,2229.2315599999997
DRH03,OUT027,2693.95996
FDA36,OUT018,1863.7073599999999
NCF31,OUT017,2736.4379999999996
FDG14,OUT049,3121.2704000000003
FDG28,OUT027,6651.87464
FDU14,OUT049,3548.9803199999997
FDY47,OUT019,3407.5644
FDI56,OUT049,1378.47232
DRD01,OUT013,606.94328
FDM22,OUT046,1282.86344
FDH33,OUT013,624.12092
DRZ24,OUT013,1668.6279600000003
NCQ38,OUT046,1467.95584
FDO16,OUT027,2245.7434000000003
FDU07,OUT027,3772.68912
NCB07,OUT013,1900.1932000000004
FDU48,OUT045,2332.9631999999997
NCM43,OUT045,2671.72224
