Outlet_Identifier,Item_Identifier,Item_Outlet_Sales
OUT049,FDW58,2181.2889135750365
OUT017,FDW14,2181.2889135750365
OUT010,NCN55,2181.2889135750365
OUT017,FDQ58,2181.2889135750365
OUT027,FDY38,2181.2889135750365
OUT046,FDH56,2181.2889135750365
OUT018,FDL48,2181.2889135750365
OUT027,FDC48,2181.2889135750365
OUT045,FDN33,2181.2889135750365
OUT017,FDA36,2181.2889135750365
OUT017,FDT44,2181.2889135750365
OUT045,FDQ56,2181.2889135750365
OUT019,NCC54,2181.2889135750365
OUT049,FDU11,2181.2889135750365
OUT013,DRL59,2181.2889135750365
OUT049,FDM24,2181.2889135750365
OUT045,FDI57,2181.2889135750365
OUT018,DRC12,2181.2889135750365
OUT027,NCM42,2181.2889135750365
OUT010,FDA46,2181.2889135750365
OUT013,FDA31,2181.2889135750365
OUT035,NCJ31,2181.2889135750365
OUT046,FDG52,2181.2889135750365
OUT019,NCL19,2181.2889135750365
OUT035,FDS10,2181.2889135750365
OUT010,FDX22,2181.2889135750365
OUT035,NCF19,2181.2889135750365
OUT046,NCE06,2181.2889135750365
OUT046,DRC27,2181.2889135750365
OUT035,FDE21,2181.2889135750365
OUT019,NCR42,2181.2889135750365
OUT018,FDX51,2181.2889135750365
OUT018,NCR06,2181.2889135750365
OUT027,FDU31,2181.2889135750365
OUT017,FDU59,2181.2889135750365
OUT027,FDR03,2181.2889135750365
OUT027,FDS49,2181.2889135750365
OUT010,FDD48,2181.2889135750365
OUT017,NCF18,2181.2889135750365
OUT027,NCD43,2181.2889135750365
OUT018,NCD54,2181.2889135750365
OUT010,FDY19,2181.2889135750365
OUT017,NCY54,2181.2889135750365
OUT018,NCL19,2181.2889135750365
OUT010,FDP23,2181.2889135750365
OUT013,FDC26,2181.2889135750365
OUT010,FDR14,2181.2889135750365
OUT035,NCS41,2181.2889135750365
OUT035,FDF41,2181.2889135750365
OUT046,FDU34,2181.2889135750365
OUT046,DRH11,2181.2889135750365
OUT013,FDM03,2181.2889135750365
OUT017,FDS31,2181.2889135750365
OUT017,FDJ20,2181.2889135750365
OUT027,FDV44,2181.2889135750365
OUT049,FDG02,2181.2889135750365
OUT013,FDA09,2181.2889135750365
OUT013,FDT04,2181.2889135750365
OUT019,FDL58,2181.2889135750365
OUT045,FDE52,2181.2889135750365
OUT035,FDW12,2181.2889135750365
OUT017,FDL51,2181.2889135750365
OUT027,NCY42,2181.2889135750365
OUT017,FDR07,2181.2889135750365
OUT045,FDN40,2181.2889135750365
OUT027,FDB35,2181.2889135750365
OUT017,FDA22,2181.2889135750365
OUT046,NCL06,2181.2889135750365
OUT013,FDI35,2181.2889135750365
OUT045,NCW42,2181.2889135750365
OUT049,NCX06,2181.2889135750365
OUT027,FDC37,2181.2889135750365
OUT018,FDZ14,2181.2889135750365
OUT049,DRG49,2181.2889135750365
OUT045,NCG06,2181.2889135750365
OUT045,DRC36,2181.2889135750365
OUT019,FDV21,2181.2889135750365
OUT046,FDB53,2181.2889135750365
OUT019,DRP47,2181.2889135750365
OUT013,FDA14,2181.2889135750365
OUT035,DRC24,2181.2889135750365
OUT018,FDW21,2181.2889135750365
OUT046,NCH29,2181.2889135750365
OUT013,FDU58,2181.2889135750365
OUT017,FDY27,2181.2889135750365
OUT035,FDV56,2181.2889135750365
OUT046,FDT59,2181.2889135750365
OUT046,FDB23,2181.2889135750365
OUT045,FDR49,2181.2889135750365
OUT010,FDB03,2181.2889135750365
OUT045,FDN39,2181.2889135750365
OUT027,FDX02,2181.2889135750365
OUT027,FDQ16,2181.2889135750365
OUT018,FDU35,2181.2889135750365
OUT013,NCT29,2181.2889135750365
OUT046,FDZ27,2181.2889135750365
OUT017,FDN57,2181.2889135750365
OUT018,FDA03,2181.2889135750365
OUT045,FDZ36,2181.2889135750365
OUT013,NCU05,2181.2889135750365
OUT018,FDT39,2181.2889135750365
OUT017,FDK60,2181.2889135750365
OUT017,FDZ25,2181.2889135750365
OUT046,FDG12,2181.2889135750365
OUT019,DRB01,2181.2889135750365
OUT027,NCC43,2181.2889135750365
OUT019,FDX13,2181.2889135750365
OUT049,FDM22,2181.2889135750365
OUT027,FDJ03,2181.2889135750365
