Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.25
FDW14,OUT017,1538.25
NCN55,OUT010,1830.25
FDQ58,OUT017,2594.25
FDY38,OUT027,5159.25
FDH56,OUT046,1937.75
FDL48,OUT018,602.75
FDC48,OUT027,2799.25
FDN33,OUT045,1511.25
FDA36,OUT017,3103.25
FDT44,OUT017,2052.25
FDQ56,OUT045,1360.25
NCC54,OUT019,1839.25
FDU11,OUT049,2076.25
DRL59,OUT013,877.75
FDM24,OUT049,2560.25
FDI57,OUT045,3273.25
DRC12,OUT018,2764.75
NCM42,OUT027,3201.25
FDA46,OUT010,1088.25
FDA31,OUT013,2803.25
NCJ31,OUT035,3919.25
FDG52,OUT046,761.75
NCL19,OUT019,297.25
FDS10,OUT035,3043.25
FDX22,OUT010,1396.0
NCF19,OUT035,938.25
NCE06,OUT046,2512.75
DRC27,OUT046,3859.0
FDE21,OUT035,2086.25
NCR42,OUT019,-1437.75
FDX51,OUT018,2870.75
NCR06,OUT018,419.5
FDU31,OUT027,4995.25
FDU59,OUT017,2746.25
FDR03,OUT027,4775.25
FDS49,OUT027,2807.25
FDD48,OUT010,-121.25
NCF18,OUT017,3132.75
NCD43,OUT027,3107.25
NCD54,OUT018,1990.75
FDY19,OUT010,-48.25
NCY54,OUT017,2832.25
NCL19,OUT018,2023.25
FDP23,OUT010,1499.25
FDC26,OUT013,1818.25
FDR14,OUT010,-1114.0
NCS41,OUT035,3095.25
FDF41,OUT035,4059.25
FDU34,OUT046,1979.0
DRH11,OUT046,931.25
FDM03,OUT013,1708.75
FDS31,OUT017,3076.25
FDJ20,OUT017,2154.25
FDV44,OUT027,4539.25
FDG02,OUT049,3146.25
FDA09,OUT013,2865.25
FDT04,OUT013,617.75
FDL58,OUT019,2220.25
FDE52,OUT045,1406.25
FDW12,OUT035,2529.25
FDL51,OUT017,3529.25
NCY42,OUT027,3699.25
FDR07,OUT017,1721.25
FDN40,OUT045,2352.25
FDB35,OUT027,2993.25
FDA22,OUT017,2782.25
NCL06,OUT046,4094.5
FDI35,OUT013,2904.75
NCW42,OUT045,3421.25
NCX06,OUT049,2943.25
FDC37,OUT027,3221.25
FDZ14,OUT018,1685.75
