Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1116.5465999999956
FDW14,OUT017,1520.0213999999953
NCN55,OUT010,1130.1954999999955
FDQ58,OUT017,2850.9555999999957
FDY38,OUT027,5243.1749999999965
FDH56,OUT046,1874.8927999999955
FDL48,OUT018,843.9014999999954
FDC48,OUT027,1616.5623999999953
FDN33,OUT045,1534.0031999999956
FDA36,OUT017,2447.4807999999957
FDT44,OUT017,1436.1305999999954
FDQ56,OUT045,2296.3441999999955
NCC54,OUT019,622.1900999999955
FDU11,OUT049,1632.8744999999954
DRL59,OUT013,607.2095999999954
FDM24,OUT049,1791.6677999999954
FDI57,OUT045,4135.616699999996
DRC12,OUT018,5359.689999999996
NCM42,OUT027,3712.8336999999956
FDA46,OUT010,190.75169999999542
FDA31,OUT013,3010.7475999999956
NCJ31,OUT035,4809.406299999995
FDG52,OUT046,757.6803999999954
NCL19,OUT019,343.2198999999954
FDS10,OUT035,1911.8446999999956
FDX22,OUT010,314.92339999999547
NCF19,OUT035,569.9247999999955
NCE06,OUT046,2666.5289999999954
DRC27,OUT046,4549.411399999995
FDE21,OUT035,2229.431299999995
NCR42,OUT019,553.9455999999955
FDX51,OUT018,2149.5352999999955
NCR06,OUT018,211.72439999999546
FDU31,OUT027,4131.288999999995
FDU59,OUT017,1498.0499999999952
FDR03,OUT027,5227.195799999995
FDS49,OUT027,4074.6959999999954
FDD48,OUT010,343.55279999999544
NCF18,OUT017,4142.607599999996
NCD43,OUT027,3387.5903999999955
NCD54,OUT018,1723.7561999999955
FDY19,OUT010,236.35899999999543
NCY54,OUT017,2894.565499999995
NCL19,OUT018,2588.6303999999955
FDP23,OUT010,430.1067999999955
FDC26,OUT013,1475.4127999999955
FDR14,OUT010,176.43699999999546
NCS41,OUT035,4476.839199999996
FDF41,OUT035,4314.051099999996
FDU34,OUT046,989.0458999999953
DRH11,OUT046,566.5957999999954
FDM03,OUT013,1607.9069999999952
FDS31,OUT017,3325.670999999995
FDJ20,OUT017,2820.3287999999957
FDV44,OUT027,5500.173799999996
FDG02,OUT049,3175.8659999999954
FDA09,OUT013,4198.534799999995
FDT04,OUT013,463.72969999999543
FDL58,OUT019,394.48649999999543
FDE52,OUT045,1836.2763999999956
FDW12,OUT035,2547.3507999999956
FDL51,OUT017,4287.751999999995
NCY42,OUT027,2127.2309999999957
FDR07,OUT017,1103.5634999999954
FDN40,OUT045,1768.6976999999952
FDB35,OUT027,2241.0827999999956
FDA22,OUT017,3242.7788999999952
NCL06,OUT046,4996.828999999997
FDI35,OUT013,5350.701699999995
NCW42,OUT045,2883.5797999999954
NCX06,OUT049,3323.0077999999958
FDC37,OUT027,2693.1609999999955
FDZ14,OUT018,857.5503999999953
DRG49,OUT049,4383.294299999996
NCG06,OUT045,4083.3513999999955
DRC36,OUT045,2616.261099999995
FDV21,OUT019,688.7700999999954
FDB53,OUT046,3445.5149999999953
DRP47,OUT019,649.4878999999955
FDA14,OUT013,2254.398799999996
DRC24,OUT035,2523.0490999999956
FDW21,OUT018,1659.8393999999953
NCH29,OUT046,2275.0385999999953
FDU58,OUT013,2055.3245999999954
FDY27,OUT017,2938.8411999999958
FDV56,OUT035,1707.4440999999956
FDT59,OUT046,5972.225999999996
FDB23,OUT046,4405.931499999995
FDR49,OUT045,758.3461999999956
FDB03,OUT010,685.7739999999955
FDN39,OUT045,2013.3791999999955
FDX02,OUT027,3114.279499999995
FDQ16,OUT027,1971.4337999999952
FDU35,OUT018,1773.6911999999954
NCT29,OUT013,2098.268699999995
FDZ27,OUT046,947.7662999999955
FDN57,OUT017,551.2823999999952
FDA03,OUT018,2041.3427999999953
FDZ36,OUT045,1578.6117999999951
NCU05,OUT013,1923.1632999999956
FDT39,OUT018,2915.2052999999955
FDK60,OUT017,1714.4349999999954
FDZ25,OUT017,3305.6969999999956
FDG12,OUT046,1878.2217999999957
DRB01,OUT019,475.3811999999954
